"Time"	"BTC / USD Denominated Closing Price"	"BTC / MVRV (Market Cap / Realized Market Cap)"	"BTC / 30 Day Volatility"	"BTC / 180 Day Volatility"
"2011-04-21"	1.20733887200468	3.43905824	0.04729449304638196	0.08328488343063463
"2011-04-22"	1.40450508182349	3.90431563	0.05326375773838303	0.08369512757292012
"2011-04-23"	1.82885230099357	4.86099744	0.06983545578838982	0.08473666912150582
"2011-04-24"	1.63198421975453	4.27543628	0.07426884907799956	0.08511976422151349
"2011-04-25"	1.56448363530099	4.06113168	0.07452030280378102	0.08382836653241828
"2011-04-26"	1.77084089012274	4.51459705	0.07596596977764593	0.08395268673240451
"2011-04-27"	1.9031759585038	4.76744161	0.07557245474382428	0.08385476071820942
"2011-04-28"	2.28574446580947	5.53562475	0.08034131072201356	0.08478922236221254
"2011-04-29"	2.85060509000585	5.27956549	0.0867857515372365	0.08613013223393318
"2011-04-30"	3.5	5.74340681	0.0911400267761834	0.08728879480037888
"2011-05-01"	3.0942275534775	4.96719361	0.0958502687662791	0.08789241444295831
"2011-05-02"	3.2	5.05486151	0.09564129720943798	0.08789123617008616
"2011-05-03"	3.36058570368206	5.13349205	0.09515883898962561	0.08714621691023015
"2011-05-04"	3.40867304734074	4.84337805	0.08885223791694107	0.08677347356589765
"2011-05-05"	3.34373668439509	4.67664599	0.08984647193548073	0.0808269052337623
"2011-05-06"	3.45507558445354	4.63603126	0.08985100230020704	0.07974769625346613
"2011-05-07"	3.64126297779077	4.80792811	0.08963603653037082	0.07541360981442574
"2011-05-08"	3.84866837697253	4.92348609	0.08897435952384977	0.07486208047100341
"2011-05-09"	3.80408958211572	4.77598264	0.0887028877747462	0.07483287070326074
"2011-05-10"	5.65166700233781	6.2849561	0.10765212159008275	0.0799461008220441
"2011-05-11"	5.43975104383402	5.77375573	0.10935032835566279	0.07907741683064434
"2011-05-12"	6.3348786943308	6.23619574	0.11019085009588649	0.07971645677378675
"2011-05-13"	8.13903486732905	6.81610339	0.11520502823973647	0.08158732482994044
"2011-05-14"	7.00724382933957	5.71115111	0.12213112569634561	0.082439496066185
"2011-05-15"	6.92492484453536	5.38878812	0.12205860168691297	0.0811700055988089
"2011-05-16"	7.88514074517826	5.64948105	0.12262747449598668	0.08149264956604073
"2011-05-17"	7.25719954061952	5.05909092	0.12563399632828257	0.08158604172043345
"2011-05-18"	6.76316336236119	4.61026723	0.12795386242237433	0.08184543292893749
"2011-05-19"	6.89014363237873	4.62646251	0.12806472144038492	0.08184543173073033
"2011-05-20"	5.61809621858562	3.71328197	0.13577162438215437	0.08344803571797656
"2011-05-21"	6.08480066744594	4.07285788	0.1358588693095104	0.08357528458926244
"2011-05-22"	6.71195603974284	4.35034379	0.13488840332197818	0.08377315283742577
"2011-05-23"	7.06525678375219	4.487161	0.1288219886445826	0.08380004167226184
"2011-05-24"	7.40266058211573	4.5999394	0.12527747095100414	0.08380052738882487
"2011-05-25"	8.56928963705436	5.19133406	0.12519998750059994	0.08434280182651649
"2011-05-26"	8.78215543424898	5.17913836	0.12467382454175689	0.08432483941351475
"2011-05-27"	8.52865846814728	4.74938352	0.1255202904324814	0.08427869042484529
"2011-05-28"	8.34926911981298	4.61095078	0.1235752980637109	0.08322362338047354
"2011-05-29"	8.40095347223846	4.59177413	0.11906628392803055	0.08272716429556244
"2011-05-30"	8.77934246464056	4.71031321	0.11472530746596911	0.08258871418552324
"2011-05-31"	8.72157642197545	4.60202531	0.11125472585276985	0.08231228173191535
"2011-06-01"	9.62377723202805	4.97744055	0.11186389687466194	0.08247841700818992
"2011-06-02"	10.7027602279369	5.3275221	0.11256744926721995	0.08101477695148583
"2011-06-03"	14.2646467738165	6.42904939	0.12123315020713785	0.08335446628045463
"2011-06-04"	18.3127387258913	7.74313927	0.12596866685681132	0.08503010466419238
"2011-06-05"	16.5433423962595	6.57534893	0.12919625868829937	0.08515073272136675
"2011-06-06"	18.4020986440678	6.0241396	0.12957585756653942	0.08537408787348703
"2011-06-07"	23.2378784628872	7.22127316	0.13364952969705465	0.08544679655746516
"2011-06-08"	29.0299213267095	7.38787829	0.136140443987894	0.08668637388348183
"2011-06-09"	28.7905440181181	6.61438788	0.12179070476981722	0.0864993257102993
"2011-06-10"	24.0493992285213	5.13598194	0.12808749717570025	0.08773877053642207
"2011-06-11"	14.7497466277031	3.17745001	0.1598944781791443	0.09576371154268291
"2011-06-12"	18.8501447311514	3.60717104	0.15964267940366506	0.09709326758787831
"2011-06-13"	19.5423291145529	3.61267024	0.15607437489166207	0.09702016829691038
"2011-06-14"	19.2577355055523	3.30858495	0.1561042374366083	0.09705614269144282
"2011-06-15"	19.4641426241964	3.13518917	0.1550965178334928	0.09697779782744162
"2011-06-16"	17.9293625423729	2.83819584	0.15507517279971458	0.09727504174411415
"2011-06-17"	15.4363689129164	2.42625836	0.1575032890329689	0.09811197638493102
"2011-06-18"	16.8754045353594	2.62955708	0.15789166389463724	0.0980394926153306
