Time,BTC / USD Denominated Closing Price,BTC / MVRV (Market Cap / Realized Market Cap),BTC / 30 Day Volatility,BTC / 180 Day Volatility
03/01/2020,7315.30936,1.31328518,0.027822924,0.034933776
04/01/2020,7343.164194,1.31850725,0.027416802,0.034480248
05/01/2020,7345.530692,1.31891454,0.027213191,0.034435283
06/01/2020,7765.797735,1.39343235,0.029094173,0.034608688
07/01/2020,8136.086842,1.45871525,0.030256729,0.034434415
08/01/2020,8059.699529,1.44434936,0.029886149,0.034260289
09/01/2020,7817.136093,1.40023893,0.030346014,0.034207368
10/01/2020,8129.81792,1.45520178,0.031036718,0.033573759
11/01/2020,8032.005495,1.43755242,0.031164623,0.033259873
12/01/2020,8164.549993,1.46084233,0.031245148,0.031556959
13/01/2020,8121.925668,1.45276596,0.030841922,0.031515042
14/01/2020,8830.167873,1.57463765,0.034049194,0.031265162
15/01/2020,8811.448203,1.56868373,0.033260967,0.031250396
16/01/2020,8718.686998,1.55078627,0.032178159,0.031166788
17/01/2020,8912.541904,1.58368313,0.027692037,0.031161356
18/01/2020,8928.180757,1.58583813,0.027277134,0.031105647
19/01/2020,8687.354837,1.54314165,0.028006065,0.030994856
20/01/2020,8636.258786,1.53413892,0.028002516,0.030993109
21/01/2020,8730.86756,1.5503965,0.02698287,0.030993709
22/01/2020,8647.900474,1.53544323,0.026668881,0.030998103
23/01/2020,8366.384614,1.48547764,0.02741873,0.030950188
24/01/2020,8423.390958,1.49494018,0.027341368,0.030947182
25/01/2020,8344.774569,1.4807681,0.027459918,0.030953614
26/01/2020,8573.87481,1.52095733,0.027756152,0.031014811
27/01/2020,8901.959285,1.5779271,0.028356146,0.030934376
28/01/2020,9297.388318,1.64585254,0.029136694,0.031005515
29/01/2020,9311.947544,1.64528656,0.028616183,0.030990689
30/01/2020,9508.920965,1.67702648,0.028517354,0.030967098
31/01/2020,9357.284782,1.64732688,0.028854277,0.030962194
01/02/2020,9381.886029,1.650978,0.027852697,0.030496577
02/02/2020,9339.387063,1.64356756,0.026824917,0.030412912
03/02/2020,9279.812521,1.6319591,0.02694621,0.030205038
04/02/2020,9161.627198,1.61069803,0.027177781,0.030216912
05/02/2020,9628.136776,1.69086813,0.026831721,0.030453541
06/02/2020,9739.280436,1.70571675,0.025799152,0.030265415
07/02/2020,9800.2794,1.7097118,0.025634115,0.030230505
08/02/2020,9911.293408,1.72664271,0.024667257,0.030231032
09/02/2020,10151.0832,1.76640757,0.024150033,0.030090903
10/02/2020,9872.361873,1.71346985,0.024751746,0.029555592
11/02/2020,10272.22256,1.7792319,0.025418048,0.029629963
12/02/2020,10360.13522,1.79208365,0.025301325,0.029633291
13/02/2020,10235.49732,1.76851563,0.021146987,0.029622514
14/02/2020,10361.61569,1.7883096,0.021144636,0.029622872
15/02/2020,9911.724327,1.71075719,0.022857408,0.029547323
16/02/2020,9952.046612,1.71695434,0.022611296,0.029539858
17/02/2020,9683.079628,1.67061779,0.023312353,0.029215935
18/02/2020,10195.30379,1.75425426,0.024237023,0.02946929
19/02/2020,9636.002299,1.65794069,0.026676929,0.029689097
20/02/2020,9614.030122,1.65435215,0.026662027,0.029627659
21/02/2020,9701.797503,1.66881312,0.026571422,0.029634112
22/02/2020,9675.249058,1.66379813,0.025679725,0.029571184
23/02/2020,9972.842423,1.71384131,0.026096298,0.029626214
24/02/2020,9648.007883,1.65765413,0.026913998,0.029542201
25/02/2020,9344.28714,1.60369037,0.027386923,0.029578549
